,Countries,Very serious threat,Somewhat serious threat,Not a threat at all,(DK),(Refused),Total
56,Croatia,0.5070724035267113,0.4189457533815048,0.05065025288338036,0.023331590208405594,0.0,1.0
58,Cyprus,0.7708100573211428,0.12024575555998238,0.039718031513708264,0.06922615560516611,0.0,1.0
60,Denmark,0.3833445968537035,0.48574526659484846,0.0880760106920679,0.04283412585938207,0.0,1.0
62,Dominican Republic,0.55291799159229,0.17866560991408204,0.18672518563577017,0.07766667173022646,0.004024541127632228,1.0
64,Ecuador,0.7423994485850759,0.15675000581091628,0.05551915672854014,0.0450469872363385,0.0002844016391296512,1.0
66,Egypt,0.17638832441890478,0.38770182269543435,0.2472669955657787,0.1886428573198814,0.0,1.0
68,El Salvador,0.6082703673395012,0.19762168278380338,0.10456670920259499,0.07598935109307053,0.013551889581028926,1.0
70,Estonia,0.33287605655839586,0.44763872602198307,0.15285527136295965,0.0650088897217868,0.001621056334875943,1.0
72,Eswatini,0.6958567499261702,0.14849967917402115,0.030405201692640625,0.12523836920716783,0.0,1.0
74,Ethiopia,0.17467558966780794,0.3198880593221123,0.3931725037718675,0.11226384723821489,0.0,1.0
76,Finland,0.2774901324005482,0.5209079119253216,0.17783998989181068,0.023446411773815366,0.00031555400850898313,1.0
78,France,0.5856798981075886,0.3525098262736756,0.039076076008821764,0.01727194213014828,0.005462257479763833,1.0
80,Gabon,0.5040155839397954,0.196260461603725,0.10698045115538887,0.19098969351254436,0.001753809788543844,1.0
82,Gambia,0.4972757597256548,0.12247123585081612,0.1398684258686103,0.2403845785549164,0.0,1.0
84,Georgia,0.568925950886197,0.3627658248647611,0.03931960347131762,0.028988620777722282,0.0,1.0
86,Germany,0.5495160773050846,0.33925466435022417,0.06724498785019015,0.03564556785688239,0.008338702637622788,1.0
88,Ghana,0.4402627233062176,0.2575747753040809,0.1810570116827433,0.11352067159904258,0.0075848181079135315,1.0
90,Greece,0.8194466587052321,0.1546085366747439,0.012583063260799268,0.013361741359223625,0.0,1.0
92,Guatemala,0.6094421694642403,0.14176555616627073,0.1644432379220814,0.06873141119415405,0.015617625253252589,1.0
94,Guinea,0.5159485947788276,0.22028387233313912,0.0982088480724942,0.16194976413323917,0.0036089206822995045,1.0
96,Honduras,0.6409879651669832,0.13736083968219073,0.13907112848427283,0.0668149026293622,0.015765164037190228,1.0
98,Hong Kong,0.3274501416450756,0.5503391201085033,0.052877468927051835,0.069333269319372,0.0,1.0
100,Hungary,0.660679800316457,0.28855660800739885,0.03094666178550276,0.01981692989063905,0.0,1.0
102,India,0.3513872529469235,0.265434916158517,0.19221469309810404,0.18371934227969755,0.007243795516752788,1.0
104,Indonesia,0.3244678566334231,0.2184219744997372,0.15500910861267014,0.2991920462945643,0.0029090139596042418,1.0
106,Iran,0.396895461866512,0.2777948833679055,0.08821612601917664,0.23288737156819384,0.004206157178205323,1.0
108,Iraq,0.26960476215188556,0.334215638476963,0.28487121262542486,0.1106715155128348,0.0006368712328959147,1.0
110,Ireland,0.6254853366896749,0.22552108873264765,0.09390558466239622,0.04083079331852344,0.014257196596756611,1.0
112,Israel,0.37829671116560154,0.42933725185512756,0.15150930791255168,0.04085672906671955,0.0,1.0
114,Italy,0.6726027679788928,0.24056513152355946,0.06942203888871967,0.01451687839228189,0.0028931832165462554,1.0
116,Ivory Coast,0.38575853113133624,0.15033330604221828,0.10980588602497798,0.35148556030769834,0.0026167164937703673,1.0
118,Jamaica,0.5579575782970807,0.12929237825731366,0.07230410035384506,0.24044594309175818,0.0,1.0
120,Japan,0.5765102050560531,0.36501516684507107,0.04359211829754039,0.0148825098013347,0.0,1.0
122,Jordan,0.24948331811212338,0.3909882426718248,0.2188506616382918,0.14067777757775948,0.0,1.0
124,Kazakhstan,0.386086271688631,0.2574987422374597,0.10476486729300886,0.24618533884449353,0.0054647799364082525,1.0
126,Kenya,0.5779539752080896,0.15543214960499374,0.08251474883168024,0.18339318300928645,0.0007059433459492164,1.0
128,Kosovo,0.48677568421116474,0.3482199914956324,0.10812733055003987,0.0568769937431589,0.0,1.0
130,Kuwait,0.3510629779230123,0.23061802592154065,0.16475910815139894,0.25355988800404694,0.0,1.0
132,Kyrgyzstan,0.4410087614097531,0.25883886968038944,0.10865873806769252,0.19020122595786199,0.0012924048843008119,1.0
134,Laos,0.2634125160624773,0.11736389606330125,0.08140946362505476,0.5378141242491676,0.0,1.0
136,Latvia,0.4223613418995226,0.414708626079967,0.08300048058757542,0.0799295514329339,0.0,1.0
138,Lebanon,0.3476696869945504,0.491433134636405,0.1231813369077091,0.037715841461336094,0.0,1.0
140,Lesotho,0.7788311925919025,0.038036450626796746,0.07607522000688365,0.10665810140850512,0.0003990353659123391,1.0
142,Liberia,0.5282786874466318,0.10257982293867339,0.17876225989249886,0.18703610851102787,0.0033431212111674487,1.0
144,Libya,0.24366396013981992,0.2573341138249296,0.245369859809385,0.24917910826550707,0.004452957960363004,1.0
146,Lithuania,0.2768270470472175,0.3766987049736876,0.23425706127325252,0.10762120433962324,0.004595982366215737,1.0
148,Luxembourg,0.5404158742348258,0.3616430349847115,0.059056294031011515,0.031145762215382896,0.0077390345340670914,1.0
150,Madagascar,0.3978734646860229,0.35124556533692247,0.1612007188021784,0.08968025117487637,0.0,1.0
152,Malawi,0.7460915034661142,0.08749889032172087,0.03959672445299382,0.12123604728103246,0.005576834478138555,1.0
154,Malaysia,0.4032269721477853,0.3291632814359524,0.0770095074356738,0.1888054689761494,0.0017947700044386185,1.0
156,Mali,0.5189491190091596,0.1956231070013812,0.15489873054624145,0.13052904344321517,0.0,1.0
158,Malta,0.6042040307964384,0.24354761687687193,0.04417641251046392,0.10807193981622581,0.0,1.0
160,Mauritania,0.3807041379389361,0.28874543424721594,0.10282307005757275,0.22414526818575056,0.0035820895705267163,1.0
162,Mauritius,0.5073513104040521,0.2926751392731944,0.11004154992765165,0.08993200039509636,0.0,1.0
164,Mexico,0.7006183896481799,0.16595301238373325,0.07047546860990858,0.054123006874448286,0.008830122483729393,1.0
166,Moldova,0.45280089446092603,0.3346274069788749,0.08624882498136836,0.1239861938621632,0.002336679716668778,1.0
168,Mongolia,0.35955854168827694,0.39791807515688843,0.04153694954879871,0.20098643360603327,0.0,1.0
170,Montenegro,0.4201334342083676,0.4404730582079675,0.0733420028635065,0.06605150472015786,0.0,1.0
172,Morocco,0.46301964037361754,0.11544611140452263,0.06177662796135774,0.35864355565304,0.001114064607464007,1.0
174,Mozambique,0.4026219595253362,0.14895768792430827,0.1530692820872496,0.2902158715419509,0.005135198921155432,1.0
176,Myanmar,0.21131309899887515,0.3939661156165468,0.21106896579875373,0.18365181958582408,0.0,1.0
178,Namibia,0.6533460444223935,0.12188712264287668,0.08614084797536606,0.1365946947171498,0.0020312902422112067,1.0
180,Nepal,0.3286049347006243,0.11421165888976806,0.10052222795470465,0.45562930371574195,0.001031874739160171,1.0
182,Netherlands,0.4056044012080946,0.4261929680955178,0.11673206880211047,0.051169885385310886,0.0003006765089666244,1.0
184,New Zealand,0.45699514132013747,0.3640824787869327,0.10643408039328175,0.07040927249647569,0.0020790270031768613,1.0
